C,gamma,mean_train_AUROC,mean_validation_AUROC,sd_validation_AUROC_ddof0
3.16227766016838,10,1,0.585330578512397,0.052429605582158
10,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
10,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
10,0.0001,0.959461777815154,0.949586776859504,0.0431008441102619
10,0.000316227766016838,0.959745278875714,0.944903581267218,0.0451130842553254
10,0.001,0.961862940225567,0.93732782369146,0.0410181644118305
10,0.00316227766016838,0.960692774180286,0.932506887052342,0.0427308160154077
10,0.01,0.964065352881264,0.916942148760331,0.0486298077193158
10,0.0316227766016838,0.979399172109625,0.893801652892562,0.0535694038861396
10,0.1,0.999710144927536,0.859779614325069,0.0606148253116389
10,0.316227766016838,1,0.835812672176309,0.0457013916780925
10,1,1,0.769972451790634,0.0609758938816291
10,3.16227766016838,1,0.721074380165289,0.0785123966942149
10,10,1,0.585330578512397,0.052429605582158
31.6227766016838,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
31.6227766016838,3.16227766016838e-05,0.959461777815154,0.949586776859504,0.0431008441102619
31.6227766016838,0.0001,0.959745278875714,0.944903581267218,0.0451130842553254
31.6227766016838,0.000316227766016838,0.96166961006924,0.93732782369146,0.0410181644118305
31.6227766016838,0.001,0.959631654192246,0.934022038567493,0.0441339165940813
31.6227766016838,0.00316227766016838,0.960207626683112,0.915151515151515,0.0573760491780651
31.6227766016838,0.01,0.9714876797578,0.902754820936639,0.059422771129101
31.6227766016838,0.0316227766016838,0.985085732440034,0.878236914600551,0.0608737514179902
31.6227766016838,0.1,1,0.794214876033058,0.0902749398706427
31.6227766016838,0.316227766016838,1,0.835812672176309,0.0457013916780925
31.6227766016838,1,1,0.769972451790634,0.0609758938816291
31.6227766016838,3.16227766016838,1,0.721074380165289,0.0785123966942149
31.6227766016838,10,1,0.585330578512397,0.052429605582158
100,1e-05,0.959461777815154,0.949586776859504,0.0431008441102619
100,3.16227766016838e-05,0.959745278875714,0.944903581267218,0.0451130842553254
100,0.0001,0.961476373354264,0.93732782369146,0.0410181644118305
100,0.000316227766016838,0.959341612237079,0.932506887052342,0.0435292219176796
100,0.001,0.958377390930582,0.915013774104683,0.0618541657078924
100,0.00316227766016838,0.964545734869509,0.907162534435262,0.0631049448230653
100,0.01,0.982762500116802,0.893526170798898,0.062208956253087
100,0.0316227766016838,0.999710144927536,0.827548209366391,0.0662827893291455
100,0.1,1,0.785123966942149,0.0868293164286777
100,0.316227766016838,1,0.835812672176309,0.0457013916780925
100,1,1,0.769972451790634,0.0609758938816291
100,3.16227766016838,1,0.721074380165289,0.0785123966942149
100,10,1,0.585330578512397,0.052429605582158
