model,C_full_precision,gamma_full_precision,mean_train_AUROC,mean_validation_AUROC,train_validation_gap,is_pareto_optimal,C_display_2dp,gamma_display_2dp,validation_AUROC_display_2dp,gap_display_2dp
RBF kernel,31.6227766016838,3.16227766016838,1,0.721074380165289,0.278925619834711,False,31.62,3.16,0.72,0.28
RBF kernel,31.6227766016838,10,1,0.585330578512397,0.414669421487603,False,31.62,10.00,0.59,0.41
RBF kernel,100,0.001,0.958377390930582,0.915013774104683,0.0433636168258992,False,100.00,1.00e-03,0.92,0.04
RBF kernel,100,0.00316227766016838,0.964545734869509,0.907162534435262,0.0573832004342475,False,100.00,3.16e-03,0.91,0.06
RBF kernel,100,0.01,0.982762500116802,0.893526170798898,0.0892363293179037,False,100.00,0.01,0.89,0.09
RBF kernel,100,0.0316227766016838,0.999710144927536,0.827548209366391,0.172161935561145,False,100.00,0.03,0.83,0.17
RBF kernel,100,0.1,1,0.785123966942149,0.214876033057851,False,100.00,0.10,0.79,0.21
RBF kernel,100,0.316227766016838,1,0.835812672176309,0.164187327823691,False,100.00,0.32,0.84,0.16
RBF kernel,100,1,1,0.769972451790634,0.230027548209366,False,100.00,1.00,0.77,0.23
RBF kernel,100,3.16227766016838,1,0.721074380165289,0.278925619834711,False,100.00,3.16,0.72,0.28
RBF kernel,100,10,1,0.585330578512397,0.414669421487603,False,100.00,10.00,0.59,0.41
